No.,Topic,Source,Question,Choices,Answer,Explanation,Difficulty
1018,Deep Learning,SanFoundry,Which method fine-tunes a pre-trained NLP model efficiently?,"a) Adapter Layers, b) Full Fine-Tuning, c) Random Initialization, d) Gradient Boosting",a,"Adds small, task-specific layers, preserving pre-trained weights.",Hard
1019,Algorithms,SanFoundry,What is the time complexity of Viterbi decoding for an HMM with n states and T observations?,"a) O(nT), b) O(n²T), c) O(T²n), d) O(n log T)",b,Quadratic in states (n²) per timestep (T) for dynamic programming.,Hard
1020,Machine Learning,SanFoundry,Which loss is best for imbalanced NLP datasets?,"a) Focal Loss, b) Cross-Entropy, c) Hinge Loss, d) MSE",a,"Focal Loss down-weights easy examples, focusing on hard ones.",Hard
1021,Natural Language Processing,SanFoundry,"What does ""TF-IDF"" prioritize in text feature extraction?","a) Rare terms, b) Frequent terms, c) Sentence length, d) Word order",a,Term Frequency-Inverse Document Frequency weights terms higher if rare across documents.,Medium
1022,Machine Learning,SanFoundry,Which technique improves generalization in NLP models?,"a) Data Augmentation, b) Gradient Clipping, c) Batch Size Increase, d) Learning Rate Decay",a,"Creates synthetic examples (e.g., paraphrasing) to enhance robustness.",Medium
1023,Reinforcement Learning,SanFoundry,What is the primary goal of reinforcement learning in dialogue systems?,"a) Maximize reward, b) Minimize latency, c) Reduce parameters, d) Cluster intents",a,Optimizes user satisfaction or task completion via reward signals.,Medium
1024,Natural Language Processing,SanFoundry,Which method handles named entity recognition (NER) effectively?,"a) CRF, b) K-Means, c) PCA, d) Q-Learning",a,Conditional Random Fields model sequence dependencies for entity labeling.,Hard
1025,Deep Learning,SanFoundry,What is the space complexity of a transformer with L layers and n tokens?,"a) O(Ln²), b) O(n²), c) O(Ln), d) O(L²n)",a,Quadratic in n per layer (attention matrix) times L layers.,Hard
1026,Natural Language Processing,SanFoundry,Which metric evaluates coherence in topic modeling?,"a) PMI, b) Accuracy, c) Precision, d) Recall",a,Pointwise Mutual Information measures word co-occurrence quality in topics.,Hard
1027,Deep Learning,SanFoundry,"What does ""ELMo"" provide over static embeddings?","a) Contextual representations, b) Faster inference, c) Smaller size, d) Simpler training",a,Embeddings from Language Models generate context-sensitive vectors.,Medium
1028,Deep Learning,SanFoundry,Which technique reduces memory usage in large language models?,"a) Model Pruning, b) Dropout, c) Batch Norm, d) Gradient Clipping",a,"Removes redundant weights, shrinking model size without much accuracy loss.",Hard
1029,Machine Learning,SanFoundry,What is the time complexity of training a word2vec model on V words and d dimensions?,"a) O(Vd), b) O(V²d), c) O(Vd²), d) O(V log d)",a,Linear in vocabulary (V) and embedding size (d) per iteration with negative sampling.,Hard
1030,Natural Language Processing,SanFoundry,Which loss function is ideal for sequence-to-sequence tasks?,"a) Cross-Entropy, b) Hinge Loss, c) Mean Squared Error, d) Triplet Loss",a,Measures token-level prediction errors effectively in seq2seq models.,Medium
1031,Deep Learning,SanFoundry,"What does ""self-attention"" compute in transformers?","a) Weighted token relationships, b) Gradient updates, c) Loss values, d) Cluster centers",a,Weights each token’s contribution to others based on similarity.,Medium
1032,Machine Learning,SanFoundry,Which method handles multi-label text classification?,"a) Binary Relevance, b) K-Means, c) PCA, d) SARSA",a,Trains independent binary classifiers per label.,Medium
1033,Deep Learning,SanFoundry,What is the advantage of LSTMs over vanilla RNNs in NLP?,"a) Better gradient flow, b) Faster training, c) Fewer parameters, d) Simpler architecture",a,Gating mechanisms mitigate vanishing gradients for long sequences.,Medium
1034,Reinforcement Learning,SanFoundry,Which algorithm optimizes policy gradient RL for dialogue?,"a) PPO, b) K-Means, c) SVM, d) Gradient Descent",a,Proximal Policy Optimization ensures stable updates with clipped objectives.,Hard
1035,Data Structures,SanFoundry,What is the space complexity of a trie for n words of average length m?,"a) O(nm), b) O(n²), c) O(m²), d) O(n log m)",a,Linear in total characters (n × m) for prefix tree storage.,Medium
1036,Information Retrieval,SanFoundry,Which metric is best for evaluating IR system ranking?,"a) NDCG, b) Accuracy, c) F1 Score, d) Perplexity",a,Normalized Discounted Cumulative Gain accounts for rank position relevance.,Hard
1037,Deep Learning,SanFoundry,"What does ""teacher forcing"" accelerate in seq2seq training?","a) Convergence, b) Inference, c) Data preprocessing, d) Evaluation",a,Uses ground truth inputs to speed up training convergence.,Medium
1038,Machine Learning,SanFoundry,Which technique improves efficiency in transformer inference?,"a) Knowledge Distillation, b) Dropout, c) Gradient Clipping, d) Batch Norm",a,Transfers knowledge to a smaller model for faster inference.,Hard
1039,Natural Language Processing,SanFoundry,What is the time complexity of greedy decoding in NLP generation?,"a) O(n), b) O(n²), c) O(n log n), d) O(nk)",a,"Linear in sequence length n, selecting the top token per step.",Medium
1040,Machine Learning,SanFoundry,Which loss function handles noisy labels in text classification?,"a) Label Smoothing, b) Cross-Entropy, c) Hinge Loss, d) MSE",a,Softens hard labels to reduce overfitting to noisy data.,Hard
1041,Natural Language Processing,SanFoundry,"What does ""LDA"" assume in topic modeling?","a) Documents are topic mixtures, b) Words are independent, c) Topics are fixed, d) Uniform dist.",a,"Latent Dirichlet Allocation models docs as mixtures of topics, topics as word distributions.",Medium
1042,Natural Language Processing,SanFoundry,Which method preprocesses text for ML models effectively?,"a) Tokenization, b) Gradient Clipping, c) Batch Norm, d) PCA",a,Splits text into tokens for feature extraction.,Easy
1043,Reinforcement Learning,SanFoundry,What is the goal of reward shaping in RL for NLP tasks?,"a) Guide learning, b) Reduce parameters, c) Speed up inference, d) Cluster data",a,"Adds intermediate rewards to sparse tasks (e.g., dialogue) for better convergence.",Medium
1044,Machine Learning,SanFoundry,Which algorithm optimizes text clustering?,"a) HDBSCAN, b) Q-Learning, c) SVM, d) Gradient Descent",a,Hierarchical DBSCAN adapts to varying density in text embeddings.,Hard
1045,Natural Language Processing,SanFoundry,What is the space complexity of an n-gram language model with order k?,"a) O(nk), b) O(V^k), c) O(Vn), d) O(k)",b,"Exponential in k for vocabulary size V, storing all k-grams.",Hard
1046,Natural Language Processing,SanFoundry,Which metric evaluates diversity in generated text?,"a) Self-BLEU, b) Accuracy, c) Precision, d) Recall",a,Measures overlap between generated sequences; lower is more diverse.,Hard
1047,Deep Learning,SanFoundry,"What does ""XLNet"" improve over BERT?","a) Autoregressive modeling, b) Smaller size, c) Faster training, d) Simpler architecture",a,Combines autoregressive and bidirectional context for better performance.,Hard
1048,Deep Learning,SanFoundry,Which technique reduces latency in NLP inference?,"a) Quantization, b) Dropout, c) Batch Norm, d) Gradient Clipping",a,"Reduces precision (e.g., int8) for faster computation on hardware.",Hard
1049,Deep Learning,SanFoundry,What is the time complexity of forward propagation in a CNN for text with n tokens?,"a) O(nk²d), b) O(nd), c) O(n²d), d) O(k²d)",a,"Linear in n, quadratic in kernel size k, linear in depth d per convolution.",Hard
1050,Natural Language Processing,SanFoundry,Which loss is best for sentiment analysis with ordinal labels?,"a) Ordinal Loss, b) Cross-Entropy, c) MSE, d) Hinge Loss",a,"Penalizes predictions based on ordinal distance (e.g., positive vs. neutral).",Hard
1051,Natural Language Processing,SanFoundry,"What does ""Doc2Vec"" extend from Word2Vec?","a) Document embeddings, b) Speed, c) Word clusters, d) Syntax parsing",a,Adds paragraph vectors to capture document-level semantics.,Medium
1052,Natural Language Processing,SanFoundry,Which method handles out-of-vocabulary (OOV) words in NLP?,"a) Subword Tokenization, b) Dropout, c) PCA, d) Gradient Boosting",a,"Breaks words into smaller units (e.g., BPE) to handle unseen terms.",Medium
1053,Reinforcement Learning,SanFoundry,What is the purpose of intrinsic rewards in RL for NLP?,"a) Enhance exploration, b) Reduce model size, c) Speed up training, d) Improve accuracy",a,"Encourages novel actions (e.g., diverse responses) in sparse reward settings.",Hard
1054,Natural Language Processing,SanFoundry,Which algorithm optimizes semantic similarity in text?,"a) Siamese Networks, b) K-Means, c) SARSA, d) Gradient Descent",a,Learns to minimize distance between similar text pairs.,Hard
1055,Deep Learning,SanFoundry,What is the space complexity of a character-level RNN for n characters?,"a) O(nh), b) O(h²), c) O(n²), d) O(h)",b,"Stores weight matrices of size h × h, independent of sequence length n.",Hard
1056,Natural Language Processing,SanFoundry,Which metric evaluates fluency in generated text?,"a) Perplexity, b) BLEU, c) Precision, d) Recall",a,"Lower perplexity indicates more fluent, natural text.",Medium
1057,Deep Learning,SanFoundry,"What does ""RoBERTa"" enhance over BERT?","a) Training data and time, b) Smaller size, c) Faster inference, d) Simpler architecture",a,Robustly optimized BERT with more data and better hyperparameters.,Hard
1058,Natural Language Processing,SanFoundry,Which technique improves interpretability in NLP models?,"a) Attention Visualization, b) Dropout, c) Batch Norm, d) Gradient Clipping",a,Shows which tokens contribute most to predictions.,Medium
1059,Machine Learning,SanFoundry,What is the time complexity of computing cosine similarity for n documents with d dimensions?,"a) O(nd), b) O(n²d), c) O(n²), d) O(d)",b,"Quadratic in n for pairwise comparisons, linear in d per comparison.",Hard
1060,Machine Learning,SanFoundry,Which loss function is best for multi-task NLP learning?,"a) Weighted Sum Loss, b) Cross-Entropy, c) Hinge Loss, d) MSE",a,"Balances multiple objectives (e.g., classification, NER) with task-specific weights.",Hard
1061,Natural Language Processing,SanFoundry,"What does ""GloVe"" optimize in word embeddings?","a) Co-occurrence statistics, b) Speed, c) Random noise, d) Syntax parsing",a,Global Vectors model word relationships via co-occurrence matrix factorization.,Medium
1062,Deep Learning,SanFoundry,Which method handles long documents in transformers?,"a) Longformer, b) Dropout, c) PCA, d) Gradient Boosting",a,Uses sparse attention to scale to longer sequences efficiently.,Hard
1063,Reinforcement Learning,SanFoundry,What is the goal of off-policy RL in dialogue systems?,"a) Learn from diverse data, b) Speed up training, c) Reduce parameters, d) Cluster intents",a,Uses data from other policies to improve learning efficiency.,Hard
1064,Information Retrieval,SanFoundry,Which algorithm optimizes query expansion in IR?,"a) Rocchio, b) K-Means, c) Q-Learning, d) Gradient Descent",a,Adjusts query vectors based on relevant/irrelevant feedback.,Hard
1065,Machine Learning,SanFoundry,What is the space complexity of a skip-gram model with V words and d dimensions?,"a) O(Vd), b) O(V²), c) O(d²), d) O(V)",a,Stores V × d embedding matrix for vocabulary and dimensions.,Medium
1066,Information Retrieval,SanFoundry,Which metric evaluates precision at top-k in IR?,"a) Precision@k, b) BLEU, c) F1 Score, d) Perplexity",a,Measures fraction of relevant items in top-k results.,Medium
1067,Natural Language Processing,SanFoundry,"What does ""T5"" unify in NLP tasks?","a) Text-to-text framework, b) Speed, c) Model size, d) Clustering",a,"Treats all tasks (e.g., translation, summarization) as text generation.",Hard
1068,Reinforcement Learning,SanFoundry,Which technique reduces overfitting in RL for NLP?,"a) Entropy Regularization, b) Dropout, c) Batch Norm, d) Gradient Clipping",a,"Encourages exploration, preventing policy overconfidence.",Hard
1069,Machine Learning,SanFoundry,What is the time complexity of training an LDA model with n documents and k topics?,"a) O(nk), b) O(nkd), c) O(n²k), d) O(kd)",b,"Linear in n, k, and avg. doc length d per Gibbs sampling iteration.",Hard
1070,Natural Language Processing,SanFoundry,Which loss is best for abstractive summarization?,"a) Cross-Entropy, b) Hinge Loss, c) MSE, d) Triplet Loss",a,Optimizes token-level generation accuracy against reference summaries.,Medium
1071,Deep Learning,SanFoundry,"What does ""positional encoding"" add to transformers?","a) Word order info, b) Speed, c) Random noise, d) Cluster labels",a,"Injects sequence position into attention, compensating for lack of recurrence.",Medium
1072,Natural Language Processing,SanFoundry,Which method handles multi-lingual text classification?,"a) XLM-R, b) K-Means, c) PCA, d) SARSA",a,Cross-lingual Language Model-RoBERTa supports multiple languages with shared embeddings.,Hard
1073,Deep Learning,SanFoundry,What is the advantage of GRU over LSTM in NLP tasks?,"a) Fewer parameters, b) Better gradient flow, c) Faster convergence, d) Simpler gates",a,"Gated Recurrent Units use fewer weights, reducing computational cost.",Medium
1074,Reinforcement Learning,SanFoundry,Which algorithm optimizes value-based RL for text generation?,"a) DQN, b) K-Means, c) SVM, d) Gradient Descent",a,Deep Q-Networks estimate action values for discrete text choices.,Hard
1075,Information Retrieval,SanFoundry,What is the space complexity of a BM25 index for n documents?,"a) O(n), b) O(nd), c) O(n²), d) O(d)",b,Linear in n and avg. doc length d for term frequency and IDF storage.,Hard
1076,Natural Language Processing,SanFoundry,Which metric evaluates coverage in text summarization?,"a) ROUGE, b) Accuracy, c) Precision, d) Recall",a,"ROUGE measures overlap with reference, reflecting content coverage.",Medium
1077,Deep Learning,SanFoundry,"What does ""DistilBERT"" trade off compared to BERT?","a) Size vs. accuracy, b) Speed vs. memory, c) Complexity vs. speed, d) Accuracy vs. diversity",a,Smaller model with slight accuracy loss via knowledge distillation.,Medium
1078,Machine Learning,SanFoundry,Which technique improves robustness in NLP models?,"a) Adversarial Training, b) Dropout, c) Batch Norm, d) Gradient Clipping",a,Trains on adversarial examples to resist input perturbations.,Hard
1079,Deep Learning,SanFoundry,What is the time complexity of computing attention scores for n tokens and d dimensions?,"a) O(n²d), b) O(nd), c) O(n²), d) O(nd²)",a,"Quadratic in n for pairwise scores, linear in d per score computation.",Hard
1080,Natural Language Processing,SanFoundry,Which loss function is best for NER with imbalanced entities?,"a) Focal Loss, b) Cross-Entropy, c) Hinge Loss, d) MSE",a,Focuses on rare entities by down-weighting easy negatives.,Hard
1081,Machine Learning,SanFoundry,"What does ""FastText"" improve over Word2Vec?","a) Subword info, b) Speed, c) Model size, d) Syntax parsing",a,Uses character n-grams to handle OOV words and morphology.,Medium
1082,Natural Language Processing,SanFoundry,Which method handles hierarchical text classification?,"a) HAN, b) K-Means, c) PCA, d) Gradient Descent",a,Hierarchical Attention Networks model sentence and document-level structure.,Hard
1083,Reinforcement Learning,SanFoundry,What is the purpose of curiosity-driven RL in NLP?,"a) Explore novel outputs, b) Reduce training time, c) Shrink model size, d) Improve accuracy",a,Rewards novel text generation to enhance exploration.,Hard
1084,Natural Language Processing,SanFoundry,Which algorithm optimizes text similarity search?,"a) Annoy, b) Q-Learning, c) SVM, d) Gradient Descent",a,Approximate Nearest Neighbors Oh Yeah builds efficient similarity trees.,Hard
1085,Information Retrieval,SanFoundry,What is the space complexity of an inverted index for n documents and V terms?,"a) O(nV), b) O(V), c) O(n + V), d) O(n²)",c,Linear in unique terms (V) plus postings (proportional to n).,Hard
1086,Natural Language Processing,SanFoundry,Which metric evaluates relevance in question answering?,"a) MRR, b) BLEU, c) F1 Score, d) Perplexity",a,Mean Reciprocal Rank prioritizes correct answer position in ranked list.,Hard
1087,Deep Learning,SanFoundry,"What does ""ALBERT"" optimize over BERT?","a) Parameter efficiency, b) Speed, c) Model depth, d) Word diversity",a,A Lite BERT reduces parameters with factorized embeddings and shared layers.,Hard
1088,Machine Learning,SanFoundry,Which technique reduces bias in NLP embeddings?,"a) Debiasing Projection, b) Dropout, c) Batch Norm, d) Gradient Clipping",a,Projects embeddings to remove gender/racial bias components.,Hard
1089,Machine Learning,SanFoundry,What is the time complexity of training an HMM with n states and T observations?,"a) O(nT), b) O(n²T), c) O(T²n), d) O(n log T)",b,Baum-Welch algorithm scales quadratically in states per timestep.,Hard
1090,Natural Language Processing,SanFoundry,Which loss is best for text generation with diverse outputs?,"a) Entropy Loss, b) Cross-Entropy, c) Hinge Loss, d) MSE",a,Encourages exploration by maximizing output distribution entropy.,Hard
1091,Natural Language Processing,SanFoundry,"What does ""LSA"" achieve in text analysis?","a) Latent semantics, b) Speed, c) Word clustering, d) Syntax parsing",a,Latent Semantic Analysis uncovers hidden topics via SVD.,Medium
1092,Deep Learning,SanFoundry,Which method handles transfer learning in NLP?,"a) Fine-Tuning, b) K-Means, c) PCA, d) SARSA",a,"Adapts pre-trained models (e.g., BERT) to new tasks with minimal updates.",Medium
1093,Reinforcement Learning,SanFoundry,What is the goal of multi-agent RL in dialogue systems?,"a) Coordinate agents, b) Reduce latency, c) Shrink parameters, d) Cluster intents",a,"Enables multiple agents (e.g., user, bot) to collaborate effectively.",Hard
1094,Information Retrieval,SanFoundry,Which algorithm optimizes document retrieval in IR?,"a) BM25, b) K-Means, c) Q-Learning, d) Gradient Descent",a,Best Match 25 ranks documents using term frequency and inverse document frequency.,Medium
1095,Machine Learning,SanFoundry,What is the space complexity of a CBOW model with V words and d dimensions?,"a) O(Vd), b) O(V²), c) O(d²), d) O(V)",a,Continuous Bag of Words stores V × d embedding matrix.,Medium
1096,Natural Language Processing,SanFoundry,Which metric evaluates exact match in question answering?,"a) EM Score, b) BLEU, c) Precision, d) Recall",a,Exact Match score checks if predicted answer matches reference exactly.,Medium
1097,Deep Learning,SanFoundry,"What does ""BART"" combine in NLP?","a) Denoising and generation, b) Speed and size, c) Clustering and regression, d) Parsing and ranking",a,Bidirectional and Auto-Regressive Transformer excels in both understanding and generation.,Hard
1098,Reinforcement Learning,SanFoundry,Which technique improves scalability in RL for NLP?,"a) Distributed Training, b) Dropout, c) Batch Norm, d) Gradient Clipping",a,Parallelizes RL updates across multiple workers for large-scale tasks.,Hard
1099,Natural Language Processing,SanFoundry,What is the time complexity of computing TF-IDF for n documents with V terms?,"a) O(nV), b) O(V²), c) O(n²V), d) O(n log V) sensational",a,Linear in total terms (n × avg. terms per doc ≈ nV) for TF and IDF calculation.,Hard
1100,Natural Language Processing,SanFoundry,Which loss function is best for coreference resolution?,"a) Mention-Ranking Loss, b) Cross-Entropy, c) Hinge Loss, d) MSE",a,Ranks correct mention pairs over incorrect ones in a document.,Hard
1101,Deep Learning,SanFoundry,"What does ""WordPiece"" optimize in tokenization?","a) Vocabulary efficiency, b) Speed, c) Word length, d) Syntax accuracy",a,Builds a compact vocabulary using subword units for better coverage.,Medium
1102,Machine Learning,SanFoundry,Which method handles few-shot learning in NLP?,"a) Prototypical Networks, b) K-Means, c) PCA, d) Gradient Descent",a,Learns class prototypes from few examples for classification.,Hard
1103,Reinforcement Learning,SanFoundry,What is the purpose of Hindsight Experience Replay in RL for NLP?,"a) Learn from failures, b) Speed up inference, c) Reduce parameters, d) Cluster data",a,Reinterprets failed attempts as successes with different goals.,Hard
1104,Natural Language Processing,SanFoundry,Which algorithm optimizes intent classification in dialogue?,"a) TextCNN, b) Q-Learning, c) SVM, d) Gradient Descent",a,Convolutional Neural Networks for text excel in short-text classification.,Medium
1105,Machine Learning,SanFoundry,What is the space complexity of a positional encoding table for n tokens and d dimensions?,"a) O(nd), b) O(n²), c) O(d²), d) O(n)",a,Linear in sequence length n times dimension d for sine/cosine encodings.,Medium
1106,Natural Language Processing,SanFoundry,Which metric evaluates faithfulness in text summarization?,"a) FactCC, b) BLEU, c) Precision, d) Recall",a,"Factuality metrics (e.g., FactCC) check if summary aligns with source facts.",Hard
1107,Deep Learning,SanFoundry,"What does ""ELECTRA"" improve over BERT?","a) Efficiency in pretraining, b) Smaller size, c) Faster inference, d) Simpler architecture",a,Replaced token detection is more sample-efficient than masked language modeling.,Hard
1108,Machine Learning,SanFoundry,Which technique reduces noise in NLP training data?,"a) Data Cleaning, b) Dropout, c) Batch Norm, d) Gradient Clipping",a,"Removes or corrects errors (e.g., typos, duplicates) before training.",Medium
1109,Deep Learning,SanFoundry,What is the time complexity of training a transformer with n tokens and L layers?,"a) O(Ln²d), b) O(Lnd), c) O(n²d), d) O(Ln³)",a,"Quadratic in n per layer (attention), linear in d and L for forward/backward passes.",Hard
1110,Natural Language Processing,SanFoundry,Which loss is best for dialogue response ranking?,"a) Pairwise Ranking Loss, b) Cross-Entropy, c) Hinge Loss, d) MSE",a,Ranks correct responses higher than incorrect ones in pairwise comparisons.,Hard
1111,Natural Language Processing,SanFoundry,"What does ""Skip-gram"" predict in word embeddings?","a) Context words, b) Speed, c) Word clusters, d) Syntax parsing",a,Predicts surrounding words given a target word.,Medium
1112,Machine Learning,SanFoundry,Which method handles domain adaptation in NLP?,"a) DANN, b) K-Means, c) PCA, d) SARSA",a,Domain-Adversarial Neural Networks align source and target domain features.,Hard
1113,Reinforcement Learning,SanFoundry,What is the goal of imitation learning in RL for NLP?,"a) Mimic expert behavior, b) Reduce latency, c) Shrink parameters, d) Cluster intents",a,"Learns policies from expert demonstrations (e.g., human dialogues).",Medium
1114,Natural Language Processing,SanFoundry,Which algorithm optimizes phrase-based machine translation?,"a) Moses, b) Q-Learning, c) SVM, d) Gradient Descent",a,Moses uses statistical models for phrase alignment and translation.,Hard
1115,Information Retrieval,SanFoundry,What is the space complexity of a language model with V words and k-gram order?,"a) O(V^k), b) O(Vk), c) O(V²), d) O(k)",a,Exponential in k for storing all possible k-grams in vocabulary V.,Hard
1116,Natural Language Processing,SanFoundry,Which metric evaluates informativeness in text summarization?,"a) ROUGE, b) Accuracy, c) Precision, d) Recall",a,"ROUGE measures content overlap with reference, indicating informativeness.",Medium
1117,Deep Learning,SanFoundry,"What does ""CTRL"" enable in text generation?","a) Controlled generation, b) Speed, c) Model size reduction, d) Clustering",a,Conditional Transformer Language model controls output style/topic.,Hard
1118,Machine Learning,SanFoundry,Which technique improves fairness in NLP models?,"a) Fairness Constraints, b) Dropout, c) Batch Norm, d) Gradient Clipping",a,"Adds constraints to reduce bias (e.g., demographic parity) in predictions.",Hard
1119,Machine Learning,SanFoundry,What is the time complexity of computing word mover’s distance for n words?,"a) O(n²), b) O(n³), c) O(n log n), d) O(n)",b,Cubic time for optimal transport between two n-word distributions.,Hard
1120,Natural Language Processing,SanFoundry,Which loss is best for text similarity tasks?,"a) Cosine Similarity Loss, b) Cross-Entropy, c) Hinge Loss, d) MSE",a,Minimizes angular distance between embedding pairs.,Medium
1121,Natural Language Processing,SanFoundry,"What does ""PMI"" measure in text analysis?","a) Word association, b) Speed, c) Word frequency, d) Syntax accuracy",a,Pointwise Mutual Information quantifies co-occurrence strength.,Medium
1122,Machine Learning,SanFoundry,Which method handles zero-shot learning in NLP?,"a) CLIP, b) K-Means, c) PCA, d) Gradient Descent",a,Contrastive Language-Image Pretraining adapts to unseen tasks via text prompts.,Hard
1123,Reinforcement Learning,SanFoundry,What is the purpose of intrinsic motivation in RL for text generation?,"a) Encourage diversity, b) Speed up training, c) Reduce parameters, d) Improve accuracy",a,Rewards novel outputs to avoid repetitive text.,Hard
1124,Natural Language Processing,SanFoundry,Which algorithm optimizes text segmentation?,"a) TextTiling, b) Q-Learning, c) SVM, d) Gradient Descent",a,Segments text into coherent chunks based on lexical cohesion.,Hard
1125,Natural Language Processing,SanFoundry,What is the space complexity of a sentence embedding matrix for n sentences and d dimensions?,"a) O(nd), b) O(n²), c) O(d²), d) O(n)",a,Linear in n sentences times embedding dimension d.,Medium
1126,Natural Language Processing,SanFoundry,Which metric evaluates consistency in dialogue systems?,"a) Human Eval, b) BLEU, c) Precision, d) Recall",a,Human evaluation assesses if responses align with context/personality.,Hard
1127,Deep Learning,SanFoundry,"What does ""UniLM"" unify in NLP?","a) Bidirectional and unidirectional tasks, b) Speed and size, c) Clustering and regression, d) Parsing and ranking",a,Unified Language Model supports both understanding and generation tasks.,Hard
1128,Reinforcement Learning,SanFoundry,Which technique reduces variance in RL for NLP?,"a) Advantage Normalization, b) Dropout, c) Batch Norm, d) Gradient Clipping",a,Normalizes advantage estimates for stable policy updates.,Hard
1129,Deep Learning,SanFoundry,What is the time complexity of training an RNN with n tokens and h hidden units?,"a) O(nh²), b) O(nh), c) O(n²h), d) O(h²)",a,"Linear in n, quadratic in h for matrix operations per timestep.",Hard
1130,Natural Language Processing,SanFoundry,Which loss is best for paraphrase detection?,"a) Contrastive Loss, b) Cross-Entropy, c) Hinge Loss, d) MSE",a,"Pulls similar pairs closer, pushes dissimilar pairs apart in embedding space.",Hard
1131,Natural Language Processing,SanFoundry,"What does ""BERTScore"" evaluate in text generation?","a) Semantic similarity, b) Speed, c) Word frequency, d) Syntax accuracy",a,Uses contextual embeddings to measure similarity to reference text.,Hard
1132,Machine Learning,SanFoundry,Which method handles continual learning in NLP?,"a) Elastic Weight Consolidation, b) K-Means, c) PCA, d) SARSA",a,Prevents forgetting by regularizing weights from prior tasks.,Hard
1133,Reinforcement Learning,SanFoundry,What is the goal of safe RL in dialogue systems?,"a) Avoid harmful responses, b) Speed up training, c) Reduce parameters, d) Cluster intents",a,"Ensures responses meet safety constraints (e.g., no toxicity).",Hard
1134,Natural Language Processing,SanFoundry,Which algorithm optimizes text deduplication?,"a) MinHash, b) Q-Learning, c) SVM, d) Gradient Descent",a,Locality-sensitive hashing detects near-duplicates efficiently.,Hard
1135,Machine Learning,SanFoundry,What is the space complexity of a tf-idf matrix for n documents and V terms?,"a) O(nV), b) O(V²), c) O(n²), d) O(n + V)",a,Linear in n documents times vocabulary size V for sparse storage.,Hard
1136,Natural Language Processing,SanFoundry,Which metric evaluates diversity in dialogue responses?,"a) Distinct-n, b) BLEU, c) Precision, d) Recall",a,Measures unique n-grams to assess response variety.,Medium
1137,Deep Learning,SanFoundry,"What does ""SpanBERT"" improve over BERT?","a) Span-based pretraining, b) Speed, c) Model size, d) Word diversity",a,Focuses on predicting spans of text for better coherence.,Hard
1138,Machine Learning,SanFoundry,Which technique improves efficiency in NLP pretraining?,"a) Mixed Precision, b) Dropout, c) Batch Norm, d) Gradient Clipping",a,"Uses lower precision (e.g., FP16) to reduce memory and speed up training.",Hard
1139,Natural Language Processing,SanFoundry,What is the time complexity of computing BLEU for n sentences with avg. length m?,"a) O(nm), b) O(nm²), c) O(n²m), d) O(m²)",a,Linear in n sentences and m words per sentence for n-gram matching.,Hard
1140,Natural Language Processing,SanFoundry,Which loss is best for text alignment tasks?,"a) Dynamic Time Warping Loss, b) Cross-Entropy, c) Hinge Loss, d) MSE",a,Aligns sequences by minimizing warping path cost.,Hard
1141,Natural Language Processing,SanFoundry,"What does ""NMF"" achieve in topic modeling?","a) Non-negative factorization, b) Speed, c) Word clustering, d) Syntax parsing",a,Non-negative Matrix Factorization extracts interpretable topics.,Medium
1142,Machine Learning,SanFoundry,Which method handles multi-modal NLP tasks?,"a) ViLBERT, b) K-Means, c) PCA, d) SARSA",a,Vision-and-Language BERT integrates text and image data.,Hard
1143,Reinforcement Learning,SanFoundry,What is the purpose of meta-learning in RL for NLP?,"a) Quick adaptation, b) Speed up inference, c) Reduce parameters, d) Cluster data",a,"Enables fast learning of new tasks (e.g., new dialogue domains).",Hard
1144,Natural Language Processing,SanFoundry,Which algorithm optimizes text normalization?,"a) MoNo, b) Q-Learning, c) SVM, d) Gradient Descent",a,"Moses Normalizer standardizes text (e.g., punctuation, casing) for consistency.",Medium
1145,Machine Learning,SanFoundry,What is the space complexity of a character-level transformer with n chars and d dim?,"a) O(nd), b) O(n²), c) O(d²), d) O(n)",a,Linear in sequence length n times dimension d for embeddings.,Medium
1146,Natural Language Processing,SanFoundry,Which metric evaluates factual consistency in QA?,"a) F1 Score, b) BLEU, c) Precision, d) Recall",a,F1 measures token-level overlap with reference answers for factuality.,Medium
1147,Deep Learning,SanFoundry,"What does ""DeBERTa"" enhance over RoBERTa?","a) Disentangled attention, b) Speed, c) Model size, d) Word diversity",a,Decoupled content and position attention for better performance.,Hard
1148,Machine Learning,SanFoundry,Which technique reduces overfitting in NLP embeddings?,"a) Noise Injection, b) Dropout, c) Batch Norm, d) Gradient Clipping",a,Adds noise to inputs/outputs to improve generalization.,Hard
1149,Deep Learning,SanFoundry,What is the time complexity of training a TextCNN with n tokens and k filters?,"a) O(nkd), b) O(nk²d), c) O(n²kd), d) O(kd)",a,"Linear in n, k filters, and depth d per convolution operation.",Hard
1150,Natural Language Processing,SanFoundry,Which loss is best for text entailment tasks?,"a) Cross-Entropy, b) Contrastive Loss, c) Hinge Loss, d) MSE",a,"Classifies premise-hypothesis pairs (e.g., entailment, contradiction) effectively.",Medium
1151,Natural Language Processing,SanFoundry,"What does ""SIF"" compute in sentence embeddings?","a) Weighted word average, b) Speed, c) Word frequency, d) Syntax accuracy",a,Smooth Inverse Frequency weights words by rarity for sentence vectors.,Medium
